year,PCOUNTY,agecat,count
2010,ALAMEDA,07. 15 Years Old,17
2010,ALAMEDA,08. 16 Years Old,45
2010,ALAMEDA,09. 17 Years Old,57
2010,ALAMEDA,10. 18 Years Old,135
2010,ALAMEDA,11. 19 Years Old,175
2010,CONTRA COSTA,08. 16 Years Old,14
2010,CONTRA COSTA,09. 17 Years Old,25
2010,CONTRA COSTA,10. 18 Years Old,32
2010,CONTRA COSTA,11. 19 Years Old,66
2010,SAN FRANCISCO,11. 19 Years Old,18
2010,MONTEREY,10. 18 Years Old,12
2010,MONTEREY,11. 19 Years Old,26
2010,CONTRA COSTA,08. 16 Years Old,23
2010,CONTRA COSTA,09. 17 Years Old,42
2010,CONTRA COSTA,10. 18 Years Old,54
2010,CONTRA COSTA,11. 19 Years Old,116
2010,SANTA CRUZ,10. 18 Years Old,19
2010,SANTA CRUZ,11. 19 Years Old,22
2010,ALAMEDA,10. 18 Years Old,16
2010,ALAMEDA,11. 19 Years Old,23
2010,SANTA CLARA,10. 18 Years Old,12
2010,SANTA CLARA,11. 19 Years Old,18
2010,MONTEREY,08. 16 Years Old,11
2010,MONTEREY,09. 17 Years Old,13
2010,MONTEREY,10. 18 Years Old,21
2010,MONTEREY,11. 19 Years Old,34
2010,SONOMA,11. 19 Years Old,21
2010,SANTA CLARA,11. 19 Years Old,24
2010,SAN BENITO,11. 19 Years Old,16
2010,ALAMEDA,08. 16 Years Old,13
2010,ALAMEDA,09. 17 Years Old,19
2010,ALAMEDA,10. 18 Years Old,28
2010,ALAMEDA,11. 19 Years Old,52
2010,CONTRA COSTA,11. 19 Years Old,21
2010,CONTRA COSTA,09. 17 Years Old,16
2010,CONTRA COSTA,10. 18 Years Old,23
2010,CONTRA COSTA,11. 19 Years Old,22
2010,ALAMEDA,09. 17 Years Old,25
2010,ALAMEDA,10. 18 Years Old,32
2010,ALAMEDA,11. 19 Years Old,58
2010,ALAMEDA,09. 17 Years Old,15
2010,ALAMEDA,10. 18 Years Old,25
2010,ALAMEDA,11. 19 Years Old,20
2010,CONTRA COSTA,10. 18 Years Old,14
2010,CONTRA COSTA,11. 19 Years Old,17
2010,SOLANO,09. 17 Years Old,24
2010,SOLANO,10. 18 Years Old,30
2010,SOLANO,11. 19 Years Old,42
2010,SAN FRANCISCO,11. 19 Years Old,12
2010,SANTA CLARA,08. 16 Years Old,14
2010,SANTA CLARA,09. 17 Years Old,28
2010,SANTA CLARA,10. 18 Years Old,31
2010,SANTA CLARA,11. 19 Years Old,35
2010,SANTA CLARA,09. 17 Years Old,12
2010,SANTA CLARA,10. 18 Years Old,20
2010,SANTA CLARA,11. 19 Years Old,26
2010,SONOMA,10. 18 Years Old,31
2010,SONOMA,11. 19 Years Old,28
2010,ALAMEDA,11. 19 Years Old,11
2010,CONTRA COSTA,09. 17 Years Old,11
2010,CONTRA COSTA,11. 19 Years Old,14
2010,SAN MATEO,08. 16 Years Old,15
2010,SAN MATEO,09. 17 Years Old,20
2010,SAN MATEO,10. 18 Years Old,30
2010,SAN MATEO,11. 19 Years Old,62
2010,SANTA CLARA,08. 16 Years Old,14
2010,SANTA CLARA,09. 17 Years Old,11
2010,SANTA CLARA,10. 18 Years Old,16
2010,SANTA CLARA,11. 19 Years Old,40
2010,HUMBOLDT,10. 18 Years Old,16
2010,MARIN,10. 18 Years Old,20
2010,MARIN,11. 19 Years Old,21
2010,SAN MATEO,10. 18 Years Old,15
2010,SAN MATEO,11. 19 Years Old,11
2010,MONTEREY,07. 15 Years Old,20
2010,MONTEREY,08. 16 Years Old,44
2010,MONTEREY,09. 17 Years Old,78
2010,MONTEREY,10. 18 Years Old,111
2010,MONTEREY,11. 19 Years Old,141
2010,SOLANO,09. 17 Years Old,21
2010,SOLANO,10. 18 Years Old,32
2010,SOLANO,11. 19 Years Old,54
2010,SANTA CLARA,08. 16 Years Old,26
2010,SANTA CLARA,09. 17 Years Old,44
2010,SANTA CLARA,10. 18 Years Old,84
2010,SANTA CLARA,11. 19 Years Old,114
2010,NAPA,09. 17 Years Old,16
2010,NAPA,10. 18 Years Old,16
2010,NAPA,11. 19 Years Old,33
2010,HUMBOLDT,10. 18 Years Old,13
2010,HUMBOLDT,11. 19 Years Old,24
2010,SANTA CLARA,09. 17 Years Old,12
2010,SANTA CLARA,11. 19 Years Old,13
2010,MONTEREY,07. 15 Years Old,11
2010,MONTEREY,08. 16 Years Old,21
2010,MONTEREY,09. 17 Years Old,32
2010,MONTEREY,10. 18 Years Old,43
2010,MONTEREY,11. 19 Years Old,73
2010,SAN FRANCISCO,09. 17 Years Old,17
2010,SAN FRANCISCO,10. 18 Years Old,26
2010,SAN FRANCISCO,11. 19 Years Old,50
2010,SANTA CLARA,07. 15 Years Old,19
2010,SANTA CLARA,08. 16 Years Old,53
2010,SANTA CLARA,09. 17 Years Old,94
2010,SANTA CLARA,10. 18 Years Old,111
2010,SANTA CLARA,11. 19 Years Old,185
2010,SONOMA,10. 18 Years Old,14
2010,SONOMA,11. 19 Years Old,34
2010,SAN MATEO,10. 18 Years Old,15
2010,SAN MATEO,11. 19 Years Old,23
2010,LAKE,11. 19 Years Old,13
2010,HUMBOLDT,10. 18 Years Old,21
2010,HUMBOLDT,11. 19 Years Old,19
2010,SANTA CLARA,09. 17 Years Old,14
2010,SANTA CLARA,10. 18 Years Old,21
2010,SANTA CLARA,11. 19 Years Old,36
2010,ALAMEDA,09. 17 Years Old,16
2010,ALAMEDA,10. 18 Years Old,37
2010,ALAMEDA,11. 19 Years Old,60
2010,NW,10. 18 Years Old,22
2010,NW,11. 19 Years Old,22
2010,CONTRA COSTA,08. 16 Years Old,13
2010,CONTRA COSTA,09. 17 Years Old,21
2010,CONTRA COSTA,10. 18 Years Old,28
2010,CONTRA COSTA,11. 19 Years Old,46
2010,LAKE,11. 19 Years Old,22
2010,SANTA CRUZ,11. 19 Years Old,12
2010,SONOMA,08. 16 Years Old,17
2010,SONOMA,09. 17 Years Old,32
2010,SONOMA,10. 18 Years Old,41
2010,SONOMA,11. 19 Years Old,50
2010,SOLANO,09. 17 Years Old,18
2010,SOLANO,10. 18 Years Old,19
2010,SOLANO,11. 19 Years Old,37
2010,SAN FRANCISCO,10. 18 Years Old,16
2010,SAN FRANCISCO,11. 19 Years Old,19
2010,MENDOCINO,10. 18 Years Old,28
2010,MENDOCINO,11. 19 Years Old,40
2010,ALAMEDA,10. 18 Years Old,14
2010,ALAMEDA,11. 19 Years Old,28
2010,ALAMEDA,11. 19 Years Old,15
2010,SANTA CRUZ,08. 16 Years Old,24
2010,SANTA CRUZ,09. 17 Years Old,41
2010,SANTA CRUZ,10. 18 Years Old,48
2010,SANTA CRUZ,11. 19 Years Old,68
2010,FRESNO,08. 16 Years Old,25
2010,FRESNO,09. 17 Years Old,24
2010,FRESNO,10. 18 Years Old,41
2010,FRESNO,11. 19 Years Old,61
2010,TULARE,09. 17 Years Old,13
2010,TULARE,10. 18 Years Old,14
2010,TULARE,11. 19 Years Old,19
2010,KERN,07. 15 Years Old,23
2010,KERN,08. 16 Years Old,70
2010,KERN,09. 17 Years Old,100
2010,KERN,10. 18 Years Old,205
2010,KERN,11. 19 Years Old,277
2010,FRESNO,09. 17 Years Old,17
2010,FRESNO,10. 18 Years Old,19
2010,FRESNO,11. 19 Years Old,25
2010,KINGS,08. 16 Years Old,21
2010,KINGS,09. 17 Years Old,37
2010,KINGS,10. 18 Years Old,54
2010,KINGS,11. 19 Years Old,86
2010,FRESNO,08. 16 Years Old,17
2010,FRESNO,09. 17 Years Old,28
2010,FRESNO,10. 18 Years Old,67
2010,FRESNO,11. 19 Years Old,92
2010,FRESNO,06. 14 Years Old,11
2010,FRESNO,07. 15 Years Old,45
2010,FRESNO,08. 16 Years Old,113
2010,FRESNO,09. 17 Years Old,165
2010,FRESNO,10. 18 Years Old,276
2010,FRESNO,11. 19 Years Old,368
2010,KERN,08. 16 Years Old,14
2010,KERN,09. 17 Years Old,28
2010,KERN,10. 18 Years Old,33
2010,KERN,11. 19 Years Old,46
2010,TULARE,10. 18 Years Old,11
2010,STANISLAUS,07. 15 Years Old,27
2010,STANISLAUS,08. 16 Years Old,30
2010,STANISLAUS,09. 17 Years Old,74
2010,STANISLAUS,10. 18 Years Old,145
2010,STANISLAUS,11. 19 Years Old,177
2010,MERCED,10. 18 Years Old,17
2010,MERCED,11. 19 Years Old,24
2010,STANISLAUS,09. 17 Years Old,19
2010,STANISLAUS,10. 18 Years Old,25
2010,STANISLAUS,11. 19 Years Old,42
2010,FRESNO,08. 16 Years Old,18
2010,FRESNO,09. 17 Years Old,19
2010,FRESNO,10. 18 Years Old,35
2010,FRESNO,11. 19 Years Old,35
2010,KINGS,11. 19 Years Old,14
2010,FRESNO,09. 17 Years Old,12
2010,FRESNO,10. 18 Years Old,14
2010,TULARE,07. 15 Years Old,15
2010,TULARE,08. 16 Years Old,49
2010,TULARE,09. 17 Years Old,85
2010,TULARE,10. 18 Years Old,135
2010,TULARE,11. 19 Years Old,189
2010,KERN,07. 15 Years Old,25
2010,KERN,08. 16 Years Old,57
2010,KERN,09. 17 Years Old,108
2010,KERN,10. 18 Years Old,175
2010,KERN,11. 19 Years Old,202
2010,MADERA,07. 15 Years Old,16
2010,MADERA,08. 16 Years Old,25
2010,MADERA,09. 17 Years Old,54
2010,MADERA,10. 18 Years Old,74
2010,MADERA,11. 19 Years Old,100
2010,MERCED,08. 16 Years Old,12
2010,MERCED,09. 17 Years Old,21
2010,MERCED,10. 18 Years Old,27
2010,MERCED,11. 19 Years Old,39
2010,STANISLAUS,09. 17 Years Old,21
2010,STANISLAUS,10. 18 Years Old,34
2010,STANISLAUS,11. 19 Years Old,71
2010,KERN,08. 16 Years Old,11
2010,KERN,09. 17 Years Old,29
2010,KERN,10. 18 Years Old,44
2010,KERN,11. 19 Years Old,57
2010,MERCED,07. 15 Years Old,15
2010,MERCED,08. 16 Years Old,33
2010,MERCED,09. 17 Years Old,49
2010,MERCED,10. 18 Years Old,92
2010,MERCED,11. 19 Years Old,123
2010,KERN,10. 18 Years Old,14
2010,KERN,11. 19 Years Old,24
2010,KERN,07. 15 Years Old,11
2010,KERN,08. 16 Years Old,28
2010,KERN,09. 17 Years Old,61
2010,KERN,10. 18 Years Old,105
2010,KERN,11. 19 Years Old,125
2010,TULARE,07. 15 Years Old,13
2010,TULARE,08. 16 Years Old,21
2010,TULARE,09. 17 Years Old,54
2010,TULARE,10. 18 Years Old,67
2010,TULARE,11. 19 Years Old,148
2010,TUOLUMNE,11. 19 Years Old,14
2010,FRESNO,07. 15 Years Old,15
2010,FRESNO,08. 16 Years Old,35
2010,FRESNO,09. 17 Years Old,76
2010,FRESNO,10. 18 Years Old,133
2010,FRESNO,11. 19 Years Old,183
2010,TULARE,08. 16 Years Old,22
