year,region,FACILITY_NAME,PCOUNTY,Category or Age,Age,Teenager
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,5,13,1
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,6,14,1
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,7,15,1
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,8,16,1
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,9,17,1
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,10,18,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,11,19,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,12,20,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,13,21,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,14,22,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,15,23,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,16,24,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,CALAVERAS,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,CONTRA COSTA,6,14,1
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,CONTRA COSTA,7,15,1
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,CONTRA COSTA,8,16,1
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,CONTRA COSTA,9,17,1
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,CONTRA COSTA,10,18,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,CONTRA COSTA,11,19,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,CONTRA COSTA,12,20,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,CONTRA COSTA,13,21,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,CONTRA COSTA,14,22,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,CONTRA COSTA,15,23,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,CONTRA COSTA,16,24,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,CONTRA COSTA,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,LAKE,14,22,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,LOS ANGELES,14,22,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,LOS ANGELES,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,MARIN,12,20,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,MARIN,13,21,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,MARIN,16,24,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,MARIN,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,MERCED,15,23,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,MERCED,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,NAPA,11,19,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,NAPA,16,24,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,NAPA,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,Other/Unknown,12,20,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,Other/Unknown,13,21,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,Other/Unknown,14,22,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,Other/Unknown,16,24,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,Other/Unknown,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SACRAMENTO,13,21,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SACRAMENTO,14,22,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SACRAMENTO,16,24,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SACRAMENTO,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SAN BERNARDINO,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SAN FRANCISCO,9,17,1
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SAN FRANCISCO,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SAN JOAQUIN,10,18,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SAN JOAQUIN,12,20,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SAN JOAQUIN,13,21,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SAN JOAQUIN,14,22,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SAN JOAQUIN,15,23,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SAN JOAQUIN,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SAN MATEO,14,22,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SAN MATEO,16,24,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SAN MATEO,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SANTA CLARA,15,23,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SANTA CLARA,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SHASTA,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SOLANO,10,18,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SOLANO,11,19,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SOLANO,12,20,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SOLANO,14,22,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SOLANO,15,23,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SOLANO,16,24,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SOLANO,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,SONOMA,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,STANISLAUS,11,19,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,STANISLAUS,13,21,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,STANISLAUS,14,22,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,STANISLAUS,16,24,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,STANISLAUS,17,>24 ,0
2010,Bay Coast,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,TULARE,14,22,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,ALAMEDA,8,16,1
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,ALAMEDA,9,17,1
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,ALAMEDA,12,20,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,ALAMEDA,14,22,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,ALAMEDA,16,24,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,ALAMEDA,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,CONTRA COSTA,8,16,1
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,CONTRA COSTA,9,17,1
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,CONTRA COSTA,12,20,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,CONTRA COSTA,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,FRESNO,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,KERN,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,LAKE,11,19,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,LAKE,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,MARIN,14,22,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,MARIN,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,MENDOCINO,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,MONTEREY,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,NAPA,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,NEVADA,15,23,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,Other/Unknown,10,18,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,Other/Unknown,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,RIVERSIDE,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SACRAMENTO,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,7,15,1
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,10,18,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,11,19,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,12,20,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,13,21,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,14,22,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,15,23,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,16,24,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN JOAQUIN,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN LUIS OBISP,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN MATEO,8,16,1
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN MATEO,11,19,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN MATEO,12,20,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN MATEO,13,21,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN MATEO,14,22,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN MATEO,15,23,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN MATEO,16,24,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN MATEO,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SANTA CLARA,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SANTA CRUZ,17,>24 ,0
