OSHPD_ID,FAC_NAME,HEALTH_SVC_AREA,LIC_STATUS,C_YOP,TYPE_LIC,TYPE_SVC_PRINCIPAL,NICU_BED_LIC,HOSP_BED_LIC_TOTL,NEWBORN_NURSRY_BASSINETS,NEWBORN_NURSRY_INFANTS,PSY_CENS_PATIENT_<=17,INPATIENT_PALLIATIVE_CARE_PROG_OFFERED,ANESTHESIOLOGIST,OP_AVAILABILITY,PHYSICIAN_A,PSY_A,EMS_ADM_VIS_TOTL,SURG_IP,AMB_SURG_PROG,BIRTHS_LIVE_TOTL
106010735,ALAMEDA HOSPITAL, East Bay,1,4,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS, East Bay,1,4,1,1,3,1,80,5693,0,1,1,1,1,1,2,1,1,4
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND, East Bay,1,4,1,5,3,1,0,0,0,0,1,1,1,1,2,1,1,1
106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL, East Bay,1,3,4,4,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106010811,FAIRMONT HOSPITAL, East Bay,1,4,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS, East Bay,1,4,1,3,1,1,0,0,4,0,0,0,0,0,1,1,0,1
106010846,HIGHLAND HOSPITAL, East Bay,1,4,1,1,1,1,20,1135,0,1,1,1,1,1,2,1,1,1
106010856,KAISER FND HOSP - OAKLAND CAMPUS, East Bay,0,4,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106010858,KAISER FND HOSP - HAYWARD/FREMONT, East Bay,0,3,1,1,1,1,20,1005,0,1,1,1,1,1,1,1,0,1
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA, East Bay,1,3,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE, East Bay,1,4,1,1,1,2,0,0,0,1,1,1,1,1,2,1,1,1
106010967,ST. ROSE HOSPITAL, East Bay,1,3,1,1,1,1,24,798,0,0,1,1,1,0,1,1,1,1
106010983,VALLEY MEMORIAL HOSPITAL, East Bay,1,3,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1
